,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE,Montecreto,Riolunato
2020-11-07,18.0,37.0,46.0,14.0,229.0,124.0,59.0,19.0,33.0,22.0,6.0,41.0,44.0,0.0,116.0,6.0,30.0,3.0,48.0,11.0,19.0,72.0,956.0,4.0,4.0,47.0,25.0,0.0,91.0,4.0,10.0,1.0,42.0,22.0,27.0,11.0,34.0,179.0,36.0,22.0,5.0,38.0,31.0,72.0,12.0,109.0,2779.0,0.0,0.0
2020-11-08,23.0,40.0,42.0,15.0,224.0,145.0,67.0,27.0,25.0,27.0,7.0,39.0,66.0,0.0,144.0,6.0,32.0,3.0,53.0,13.0,19.0,70.0,1047.0,8.0,9.0,54.0,24.0,4.0,99.0,5.0,12.0,1.0,45.0,27.0,32.0,10.0,30.0,208.0,40.0,23.0,7.0,41.0,40.0,103.0,12.0,128.0,3097.0,1.0,0.0
2020-11-09,27.0,39.0,42.0,16.0,218.0,158.0,73.0,39.0,25.0,22.0,6.0,40.0,67.0,0.0,151.0,6.0,32.0,3.0,56.0,17.0,22.0,70.0,1089.0,11.0,9.0,62.0,20.0,4.0,96.0,6.0,12.0,1.0,44.0,23.0,30.0,10.0,24.0,214.0,43.0,26.0,8.0,36.0,45.0,131.0,10.0,125.0,3209.0,1.0,0.0
2020-11-10,29.0,36.0,34.0,17.0,220.0,159.0,89.0,51.0,27.0,24.0,6.0,42.0,81.0,0.0,153.0,7.0,37.0,4.0,65.0,18.0,17.0,68.0,1020.0,19.0,9.0,55.0,16.0,5.0,88.0,7.0,14.0,2.0,33.0,24.0,25.0,12.0,28.0,228.0,57.0,28.0,8.0,38.0,52.0,178.0,12.0,134.0,3278.0,2.0,0.0
2020-11-11,27.0,41.0,27.0,16.0,232.0,158.0,88.0,52.0,27.0,23.0,9.0,51.0,87.0,0.0,151.0,7.0,32.0,4.0,67.0,23.0,20.0,67.0,999.0,38.0,10.0,51.0,21.0,6.0,92.0,8.0,10.0,6.0,36.0,25.0,20.0,11.0,26.0,244.0,45.0,26.0,9.0,53.0,54.0,181.0,14.0,131.0,3327.0,2.0,0.0
2020-11-12,35.0,53.0,27.0,18.0,231.0,182.0,96.0,58.0,27.0,21.0,5.0,56.0,108.0,0.0,185.0,6.0,21.0,4.0,76.0,25.0,21.0,69.0,1030.0,39.0,13.0,76.0,21.0,6.0,89.0,8.0,10.0,5.0,40.0,30.0,22.0,11.0,28.0,267.0,45.0,20.0,6.0,58.0,60.0,192.0,14.0,126.0,3546.0,3.0,0.0
2020-11-13,35.0,56.0,28.0,15.0,269.0,181.0,97.0,57.0,24.0,24.0,6.0,66.0,109.0,0.0,188.0,6.0,23.0,9.0,83.0,28.0,21.0,76.0,1102.0,41.0,13.0,76.0,32.0,7.0,104.0,13.0,13.0,6.0,44.0,30.0,27.0,11.0,30.0,255.0,49.0,22.0,7.0,70.0,64.0,194.0,11.0,142.0,3773.0,5.0,1.0
2020-11-14,35.0,51.0,25.0,16.0,302.0,168.0,90.0,59.0,30.0,29.0,6.0,68.0,111.0,0.0,191.0,5.0,24.0,9.0,88.0,31.0,19.0,79.0,1239.0,45.0,15.0,83.0,39.0,10.0,111.0,15.0,17.0,6.0,47.0,32.0,30.0,10.0,33.0,244.0,50.0,20.0,6.0,76.0,68.0,197.0,9.0,146.0,3993.0,5.0,1.0
2020-11-15,34.0,54.0,24.0,23.0,299.0,191.0,88.0,62.0,36.0,36.0,6.0,73.0,101.0,0.0,196.0,3.0,27.0,11.0,92.0,33.0,23.0,92.0,1231.0,44.0,20.0,92.0,36.0,8.0,144.0,16.0,20.0,7.0,57.0,34.0,28.0,13.0,38.0,224.0,51.0,22.0,7.0,74.0,66.0,181.0,8.0,138.0,4072.0,4.0,2.0
2020-11-16,30.0,55.0,34.0,23.0,357.0,185.0,97.0,56.0,36.0,35.0,6.0,69.0,110.0,0.0,205.0,3.0,27.0,13.0,94.0,32.0,19.0,94.0,1231.0,42.0,25.0,90.0,43.0,9.0,157.0,15.0,23.0,7.0,61.0,37.0,28.0,14.0,39.0,247.0,53.0,24.0,6.0,86.0,72.0,170.0,14.0,138.0,4221.0,5.0,2.0
2020-11-17,25.0,59.0,36.0,22.0,346.0,180.0,89.0,46.0,33.0,38.0,7.0,83.0,99.0,0.0,202.0,2.0,21.0,12.0,97.0,30.0,18.0,99.0,1168.0,35.0,42.0,91.0,50.0,8.0,186.0,15.0,25.0,6.0,67.0,32.0,30.0,16.0,45.0,242.0,42.0,26.0,6.0,85.0,63.0,130.0,15.0,121.0,4100.0,5.0,2.0
2020-11-18,29.0,66.0,35.0,21.0,300.0,188.0,80.0,43.0,26.0,38.0,6.0,77.0,92.0,0.0,202.0,1.0,18.0,16.0,89.0,28.0,13.0,88.0,1160.0,16.0,49.0,99.0,44.0,7.0,199.0,15.0,27.0,2.0,67.0,35.0,28.0,16.0,39.0,226.0,41.0,29.0,12.0,72.0,59.0,104.0,12.0,119.0,3962.0,21.0,5.0
2020-11-19,18.0,50.0,33.0,19.0,292.0,164.0,71.0,41.0,28.0,38.0,5.0,90.0,77.0,0.0,185.0,1.0,18.0,15.0,88.0,25.0,14.0,97.0,1095.0,17.0,48.0,76.0,45.0,9.0,195.0,18.0,34.0,4.0,61.0,32.0,35.0,15.0,37.0,223.0,39.0,29.0,12.0,68.0,56.0,94.0,12.0,123.0,3772.0,21.0,5.0
2020-11-20,20.0,48.0,38.0,21.0,326.0,164.0,72.0,49.0,32.0,49.0,4.0,91.0,77.0,0.0,198.0,2.0,18.0,11.0,83.0,23.0,16.0,105.0,1107.0,17.0,52.0,81.0,35.0,8.0,208.0,16.0,34.0,3.0,53.0,30.0,40.0,17.0,36.0,223.0,34.0,34.0,15.0,63.0,51.0,97.0,14.0,119.0,3861.0,21.0,6.0
2020-11-21,21.0,51.0,41.0,19.0,306.0,196.0,79.0,53.0,26.0,43.0,6.0,87.0,84.0,0.0,200.0,3.0,19.0,13.0,79.0,24.0,14.0,105.0,1042.0,12.0,54.0,91.0,28.0,5.0,219.0,17.0,33.0,4.0,53.0,28.0,37.0,16.0,31.0,229.0,35.0,34.0,35.0,59.0,55.0,107.0,19.0,114.0,3860.0,23.0,11.0
2020-11-22,19.0,52.0,44.0,12.0,309.0,161.0,80.0,47.0,23.0,36.0,5.0,87.0,82.0,0.0,191.0,3.0,17.0,11.0,84.0,23.0,8.0,92.0,957.0,9.0,47.0,75.0,28.0,5.0,192.0,17.0,31.0,4.0,46.0,20.0,42.0,14.0,29.0,213.0,32.0,36.0,34.0,80.0,55.0,103.0,21.0,103.0,3613.0,24.0,10.0
2020-11-23,20.0,61.0,34.0,15.0,241.0,163.0,71.0,53.0,30.0,40.0,5.0,103.0,81.0,0.0,177.0,4.0,21.0,11.0,79.0,20.0,12.0,103.0,925.0,9.0,74.0,76.0,19.0,6.0,192.0,16.0,27.0,4.0,42.0,16.0,53.0,12.0,32.0,195.0,27.0,33.0,34.0,74.0,43.0,89.0,21.0,92.0,3488.0,23.0,10.0
2020-11-24,22.0,65.0,33.0,14.0,270.0,177.0,70.0,54.0,30.0,36.0,6.0,96.0,90.0,0.0,178.0,4.0,22.0,12.0,71.0,18.0,14.0,100.0,919.0,8.0,60.0,86.0,20.0,6.0,178.0,16.0,28.0,5.0,38.0,24.0,53.0,8.0,22.0,197.0,25.0,35.0,37.0,85.0,47.0,91.0,20.0,96.0,3518.0,22.0,10.0
2020-11-25,18.0,55.0,32.0,11.0,267.0,163.0,73.0,55.0,30.0,35.0,5.0,94.0,86.0,0.0,171.0,4.0,21.0,8.0,73.0,13.0,14.0,99.0,813.0,10.0,54.0,78.0,19.0,7.0,162.0,15.0,26.0,5.0,34.0,20.0,54.0,9.0,21.0,189.0,32.0,34.0,36.0,80.0,46.0,104.0,19.0,96.0,3307.0,6.0,11.0
2020-11-26,20.0,54.0,31.0,11.0,263.0,157.0,74.0,49.0,27.0,33.0,7.0,81.0,82.0,0.0,153.0,4.0,21.0,9.0,68.0,12.0,12.0,90.0,812.0,9.0,53.0,77.0,18.0,6.0,173.0,13.0,21.0,3.0,33.0,17.0,48.0,8.0,20.0,171.0,32.0,38.0,43.0,77.0,40.0,101.0,18.0,83.0,3191.0,5.0,14.0
2020-11-27,20.0,57.0,34.0,13.0,229.0,176.0,81.0,54.0,21.0,24.0,8.0,84.0,85.0,0.0,121.0,3.0,22.0,8.0,64.0,15.0,8.0,76.0,778.0,8.0,52.0,79.0,21.0,6.0,153.0,11.0,24.0,3.0,36.0,16.0,47.0,7.0,18.0,174.0,36.0,38.0,43.0,81.0,44.0,117.0,19.0,74.0,3104.0,3.0,13.0
2020-11-28,18.0,54.0,33.0,17.0,208.0,157.0,81.0,54.0,27.0,28.0,6.0,91.0,76.0,2.0,113.0,3.0,20.0,8.0,68.0,11.0,8.0,77.0,713.0,7.0,49.0,70.0,19.0,6.0,138.0,10.0,20.0,2.0,35.0,22.0,49.0,6.0,17.0,152.0,35.0,42.0,26.0,76.0,36.0,112.0,14.0,69.0,2895.0,2.0,8.0
2020-11-29,16.0,44.0,34.0,16.0,225.0,149.0,87.0,56.0,24.0,26.0,6.0,95.0,80.0,2.0,92.0,3.0,18.0,8.0,51.0,12.0,8.0,84.0,711.0,7.0,50.0,66.0,21.0,4.0,121.0,8.0,19.0,1.0,26.0,22.0,46.0,7.0,14.0,145.0,41.0,36.0,24.0,58.0,36.0,130.0,14.0,75.0,2828.0,1.0,9.0
2020-11-30,15.0,36.0,35.0,11.0,235.0,154.0,79.0,45.0,14.0,22.0,7.0,78.0,81.0,2.0,100.0,2.0,12.0,10.0,49.0,14.0,5.0,96.0,730.0,7.0,20.0,68.0,22.0,2.0,138.0,8.0,21.0,4.0,28.0,27.0,34.0,6.0,10.0,141.0,35.0,44.0,27.0,83.0,34.0,127.0,12.0,74.0,2819.0,3.0,12.0
2020-12-01,12.0,28.0,34.0,9.0,190.0,139.0,77.0,40.0,11.0,21.0,6.0,67.0,76.0,2.0,92.0,1.0,10.0,8.0,49.0,16.0,4.0,97.0,706.0,7.0,16.0,61.0,16.0,3.0,125.0,7.0,17.0,4.0,25.0,33.0,32.0,7.0,10.0,137.0,34.0,41.0,28.0,73.0,28.0,121.0,12.0,74.0,2624.0,6.0,12.0
2020-12-02,10.0,33.0,30.0,9.0,197.0,133.0,72.0,39.0,13.0,19.0,5.0,64.0,74.0,2.0,85.0,1.0,10.0,8.0,41.0,16.0,4.0,103.0,710.0,7.0,16.0,58.0,15.0,3.0,105.0,4.0,16.0,4.0,26.0,35.0,30.0,8.0,11.0,139.0,29.0,38.0,22.0,75.0,26.0,114.0,16.0,77.0,2566.0,6.0,8.0
2020-12-03,9.0,41.0,31.0,8.0,213.0,141.0,73.0,39.0,15.0,19.0,3.0,65.0,78.0,2.0,95.0,2.0,9.0,7.0,44.0,17.0,4.0,104.0,680.0,7.0,16.0,56.0,15.0,5.0,97.0,4.0,14.0,4.0,26.0,41.0,33.0,8.0,12.0,145.0,27.0,37.0,17.0,81.0,33.0,114.0,16.0,79.0,2598.0,6.0,6.0
2020-12-04,7.0,38.0,31.0,5.0,198.0,126.0,69.0,27.0,14.0,17.0,2.0,61.0,88.0,2.0,119.0,2.0,7.0,8.0,55.0,18.0,5.0,105.0,665.0,6.0,15.0,51.0,15.0,6.0,104.0,3.0,12.0,5.0,25.0,46.0,32.0,9.0,10.0,141.0,26.0,43.0,14.0,81.0,34.0,95.0,16.0,77.0,2549.0,8.0,6.0
2020-12-05,11.0,34.0,30.0,1.0,215.0,116.0,66.0,23.0,8.0,14.0,2.0,63.0,98.0,0.0,118.0,1.0,6.0,6.0,64.0,19.0,7.0,104.0,678.0,6.0,14.0,45.0,19.0,6.0,110.0,1.0,13.0,5.0,21.0,42.0,37.0,9.0,12.0,152.0,25.0,45.0,12.0,87.0,39.0,91.0,15.0,76.0,2580.0,8.0,6.0
2020-12-06,10.0,40.0,29.0,3.0,197.0,124.0,58.0,23.0,8.0,13.0,3.0,60.0,86.0,0.0,124.0,1.0,7.0,7.0,68.0,21.0,7.0,106.0,641.0,8.0,11.0,61.0,16.0,6.0,115.0,1.0,12.0,5.0,26.0,51.0,37.0,9.0,15.0,146.0,23.0,51.0,13.0,82.0,34.0,66.0,16.0,67.0,2520.0,8.0,5.0
2020-12-07,13.0,42.0,28.0,5.0,207.0,112.0,67.0,26.0,11.0,17.0,2.0,74.0,84.0,0.0,117.0,1.0,6.0,3.0,66.0,18.0,6.0,87.0,630.0,8.0,10.0,62.0,15.0,8.0,94.0,1.0,12.0,2.0,21.0,54.0,44.0,12.0,15.0,158.0,26.0,45.0,11.0,55.0,38.0,63.0,15.0,63.0,2463.0,7.0,2.0
2020-12-08,13.0,40.0,28.0,5.0,214.0,111.0,72.0,44.0,11.0,18.0,1.0,77.0,85.0,0.0,117.0,1.0,8.0,4.0,66.0,17.0,6.0,83.0,630.0,7.0,10.0,59.0,17.0,8.0,85.0,1.0,10.0,1.0,22.0,39.0,43.0,13.0,13.0,152.0,30.0,47.0,9.0,63.0,43.0,62.0,14.0,56.0,2462.0,4.0,2.0
2020-12-09,14.0,34.0,27.0,5.0,204.0,105.0,73.0,46.0,9.0,18.0,1.0,72.0,87.0,0.0,115.0,1.0,8.0,4.0,65.0,17.0,5.0,78.0,619.0,6.0,8.0,61.0,17.0,7.0,86.0,1.0,11.0,1.0,22.0,36.0,42.0,10.0,15.0,141.0,25.0,47.0,9.0,60.0,41.0,53.0,10.0,43.0,2366.0,4.0,2.0
2020-12-10,14.0,27.0,26.0,9.0,203.0,95.0,73.0,51.0,9.0,20.0,1.0,69.0,82.0,1.0,114.0,0.0,7.0,5.0,62.0,16.0,6.0,96.0,633.0,6.0,8.0,60.0,18.0,4.0,86.0,1.0,15.0,1.0,20.0,31.0,43.0,10.0,13.0,135.0,24.0,47.0,10.0,63.0,36.0,55.0,11.0,50.0,2372.0,4.0,1.0
2020-12-11,15.0,21.0,17.0,8.0,178.0,86.0,71.0,48.0,7.0,18.0,1.0,62.0,61.0,1.0,85.0,0.0,7.0,5.0,46.0,13.0,5.0,86.0,531.0,5.0,5.0,54.0,14.0,3.0,68.0,2.0,10.0,0.0,15.0,27.0,37.0,7.0,14.0,117.0,21.0,34.0,9.0,52.0,29.0,46.0,9.0,42.0,1995.0,2.0,0.0
2020-12-12,14.0,29.0,22.0,8.0,173.0,105.0,71.0,47.0,10.0,21.0,3.0,61.0,56.0,1.0,85.0,0.0,7.0,7.0,33.0,13.0,3.0,85.0,515.0,6.0,6.0,58.0,9.0,4.0,68.0,2.0,11.0,0.0,13.0,29.0,35.0,9.0,14.0,117.0,22.0,32.0,13.0,47.0,28.0,40.0,10.0,48.0,1992.0,1.0,0.0
2020-12-13,19.0,24.0,21.0,7.0,166.0,110.0,72.0,47.0,14.0,27.0,4.0,58.0,56.0,1.0,75.0,0.0,7.0,6.0,30.0,16.0,6.0,91.0,551.0,4.0,7.0,59.0,9.0,7.0,70.0,3.0,11.0,0.0,9.0,27.0,37.0,11.0,12.0,117.0,21.0,32.0,14.0,61.0,38.0,58.0,7.0,52.0,2077.0,2.0,0.0
2020-12-14,16.0,19.0,21.0,5.0,160.0,107.0,62.0,42.0,12.0,22.0,4.0,47.0,53.0,1.0,72.0,0.0,7.0,6.0,30.0,15.0,5.0,89.0,559.0,3.0,6.0,49.0,10.0,5.0,62.0,5.0,8.0,0.0,10.0,21.0,33.0,11.0,11.0,107.0,17.0,34.0,13.0,69.0,32.0,55.0,4.0,69.0,1993.0,2.0,2.0
2020-12-15,18.0,16.0,17.0,5.0,161.0,93.0,56.0,25.0,16.0,21.0,4.0,46.0,46.0,1.0,70.0,0.0,6.0,6.0,29.0,17.0,6.0,87.0,526.0,3.0,5.0,45.0,6.0,4.0,65.0,5.0,9.0,0.0,10.0,22.0,33.0,9.0,11.0,100.0,12.0,27.0,11.0,65.0,27.0,60.0,3.0,71.0,1879.0,2.0,2.0
2020-12-16,17.0,15.0,18.0,6.0,168.0,101.0,53.0,22.0,17.0,24.0,5.0,52.0,45.0,1.0,72.0,0.0,6.0,6.0,28.0,17.0,8.0,88.0,536.0,4.0,6.0,47.0,5.0,4.0,66.0,5.0,8.0,0.0,11.0,22.0,36.0,10.0,10.0,108.0,12.0,26.0,11.0,63.0,27.0,63.0,3.0,75.0,1931.0,2.0,2.0
2020-12-17,20.0,15.0,17.0,2.0,167.0,104.0,50.0,20.0,16.0,24.0,5.0,59.0,45.0,0.0,69.0,0.0,7.0,5.0,32.0,20.0,10.0,68.0,531.0,4.0,5.0,50.0,5.0,5.0,61.0,5.0,6.0,0.0,12.0,20.0,33.0,10.0,13.0,117.0,12.0,28.0,8.0,60.0,27.0,66.0,2.0,66.0,1905.0,2.0,2.0
2020-12-18,20.0,21.0,26.0,2.0,187.0,122.0,51.0,27.0,19.0,32.0,6.0,61.0,54.0,0.0,76.0,0.0,8.0,4.0,33.0,24.0,13.0,75.0,604.0,4.0,5.0,56.0,8.0,6.0,72.0,4.0,7.0,0.0,12.0,22.0,41.0,14.0,13.0,122.0,19.0,29.0,8.0,68.0,35.0,90.0,3.0,67.0,2174.0,2.0,2.0
2020-12-19,18.0,12.0,19.0,5.0,172.0,102.0,43.0,26.0,22.0,30.0,5.0,56.0,47.0,1.0,86.0,0.0,10.0,1.0,30.0,23.0,19.0,76.0,582.0,4.0,4.0,47.0,11.0,6.0,59.0,4.0,6.0,0.0,14.0,18.0,39.0,13.0,10.0,128.0,17.0,27.0,3.0,69.0,31.0,88.0,3.0,61.0,2051.0,2.0,2.0
2020-12-20,13.0,21.0,16.0,5.0,171.0,93.0,38.0,22.0,22.0,28.0,3.0,47.0,52.0,1.0,92.0,1.0,9.0,2.0,28.0,14.0,19.0,58.0,533.0,5.0,2.0,33.0,14.0,3.0,52.0,4.0,7.0,1.0,13.0,12.0,36.0,10.0,10.0,136.0,17.0,22.0,1.0,64.0,22.0,66.0,8.0,54.0,1883.0,1.0,2.0
2020-12-21,12.0,21.0,14.0,10.0,156.0,93.0,36.0,29.0,24.0,32.0,3.0,52.0,46.0,1.0,86.0,2.0,9.0,2.0,24.0,18.0,22.0,64.0,480.0,5.0,2.0,41.0,16.0,3.0,52.0,2.0,8.0,3.0,12.0,17.0,41.0,7.0,11.0,122.0,20.0,17.0,0.0,54.0,26.0,68.0,8.0,41.0,1812.0,0.0,0.0
2020-12-22,9.0,20.0,15.0,10.0,141.0,86.0,35.0,30.0,22.0,33.0,5.0,46.0,45.0,1.0,82.0,2.0,10.0,2.0,21.0,14.0,20.0,59.0,453.0,5.0,3.0,35.0,18.0,3.0,47.0,2.0,8.0,5.0,8.0,18.0,42.0,7.0,14.0,125.0,21.0,16.0,0.0,43.0,26.0,59.0,10.0,38.0,1714.0,0.0,0.0
2020-12-23,9.0,22.0,16.0,10.0,132.0,78.0,33.0,29.0,21.0,30.0,4.0,43.0,47.0,1.0,91.0,2.0,11.0,2.0,27.0,16.0,20.0,59.0,441.0,3.0,2.0,32.0,19.0,3.0,44.0,2.0,9.0,5.0,7.0,18.0,39.0,6.0,13.0,123.0,23.0,15.0,0.0,40.0,26.0,62.0,10.0,41.0,1686.0,0.0,0.0
2020-12-24,5.0,24.0,21.0,11.0,122.0,79.0,31.0,25.0,27.0,31.0,4.0,34.0,47.0,1.0,97.0,2.0,12.0,2.0,22.0,20.0,20.0,65.0,459.0,2.0,2.0,38.0,21.0,2.0,42.0,1.0,8.0,6.0,9.0,20.0,39.0,7.0,15.0,118.0,25.0,12.0,0.0,36.0,29.0,64.0,14.0,49.0,1720.0,0.0,0.0
2020-12-25,5.0,21.0,12.0,17.0,107.0,73.0,29.0,20.0,32.0,33.0,3.0,42.0,39.0,1.0,86.0,3.0,9.0,3.0,22.0,17.0,21.0,71.0,477.0,2.0,2.0,38.0,19.0,1.0,33.0,2.0,8.0,7.0,12.0,21.0,33.0,4.0,22.0,118.0,19.0,15.0,2.0,37.0,28.0,63.0,15.0,58.0,1702.0,0.0,0.0
2020-12-26,3.0,21.0,20.0,19.0,107.0,69.0,29.0,24.0,31.0,37.0,2.0,42.0,37.0,0.0,83.0,3.0,8.0,3.0,26.0,17.0,21.0,69.0,479.0,3.0,1.0,43.0,19.0,0.0,29.0,2.0,10.0,8.0,13.0,23.0,34.0,4.0,22.0,115.0,18.0,13.0,2.0,36.0,28.0,74.0,16.0,54.0,1717.0,0.0,0.0
2020-12-27,6.0,13.0,20.0,21.0,101.0,69.0,26.0,27.0,32.0,41.0,2.0,44.0,33.0,0.0,76.0,2.0,7.0,4.0,28.0,19.0,20.0,81.0,488.0,3.0,1.0,46.0,16.0,0.0,27.0,1.0,9.0,9.0,13.0,23.0,33.0,3.0,23.0,102.0,17.0,15.0,3.0,26.0,29.0,79.0,16.0,54.0,1710.0,2.0,0.0
2020-12-28,6.0,12.0,22.0,16.0,91.0,57.0,23.0,21.0,30.0,35.0,3.0,37.0,29.0,0.0,73.0,1.0,6.0,4.0,27.0,15.0,18.0,67.0,430.0,3.0,1.0,35.0,14.0,0.0,22.0,1.0,8.0,7.0,12.0,16.0,23.0,4.0,22.0,91.0,14.0,14.0,3.0,24.0,24.0,70.0,16.0,62.0,1511.0,2.0,0.0
2020-12-29,6.0,12.0,20.0,17.0,83.0,52.0,20.0,21.0,30.0,32.0,1.0,36.0,32.0,0.0,72.0,2.0,5.0,4.0,28.0,16.0,18.0,68.0,424.0,4.0,1.0,34.0,12.0,1.0,18.0,1.0,7.0,5.0,12.0,12.0,21.0,4.0,20.0,88.0,13.0,15.0,3.0,23.0,24.0,72.0,14.0,69.0,1474.0,2.0,0.0
2020-12-30,7.0,11.0,20.0,16.0,81.0,54.0,23.0,24.0,31.0,32.0,1.0,34.0,29.0,0.0,71.0,3.0,4.0,4.0,26.0,17.0,17.0,65.0,482.0,6.0,2.0,34.0,11.0,1.0,18.0,1.0,8.0,6.0,11.0,13.0,24.0,6.0,19.0,97.0,12.0,16.0,3.0,26.0,25.0,70.0,16.0,65.0,1544.0,2.0,0.0
2020-12-31,11.0,12.0,15.0,21.0,91.0,62.0,26.0,35.0,49.0,31.0,1.0,38.0,34.0,0.0,83.0,5.0,2.0,5.0,37.0,10.0,17.0,62.0,473.0,6.0,2.0,27.0,8.0,2.0,15.0,1.0,10.0,6.0,12.0,12.0,26.0,10.0,16.0,103.0,14.0,14.0,5.0,29.0,29.0,67.0,12.0,64.0,1615.0,5.0,0.0
2021-01-01,11.0,10.0,18.0,19.0,111.0,86.0,33.0,39.0,48.0,29.0,3.0,31.0,39.0,0.0,106.0,4.0,10.0,4.0,43.0,12.0,25.0,67.0,470.0,7.0,2.0,29.0,10.0,2.0,15.0,1.0,9.0,11.0,16.0,9.0,37.0,11.0,9.0,134.0,14.0,10.0,4.0,30.0,26.0,69.0,9.0,73.0,1764.0,9.0,0.0
2021-01-02,10.0,15.0,10.0,15.0,129.0,92.0,39.0,40.0,47.0,28.0,3.0,28.0,41.0,1.0,109.0,6.0,10.0,5.0,41.0,14.0,23.0,75.0,490.0,5.0,3.0,28.0,8.0,2.0,17.0,1.0,9.0,12.0,15.0,8.0,38.0,11.0,10.0,122.0,16.0,9.0,4.0,33.0,25.0,64.0,10.0,80.0,1811.0,10.0,0.0
2021-01-03,8.0,19.0,12.0,12.0,133.0,97.0,44.0,38.0,44.0,25.0,4.0,29.0,38.0,1.0,114.0,6.0,10.0,3.0,39.0,17.0,23.0,65.0,511.0,4.0,4.0,22.0,11.0,2.0,23.0,1.0,11.0,10.0,15.0,9.0,44.0,16.0,6.0,122.0,14.0,6.0,3.0,36.0,27.0,67.0,5.0,92.0,1852.0,9.0,1.0
